Date,Open,High,Low,Close,Volume,Adjusted
2023-01-03,19570.429688,20212.550781,19303.730469,20145.289063,2286651100,20145.289063
2023-01-04,20319.980469,20793.109375,20233.390625,20793.109375,3015986300,20793.109375
2023-01-05,21295.869141,21396.089844,20962.400391,21052.169922,2875372400,21052.169922
2023-01-06,21220.890625,21282.710938,20862.769531,20991.640625,2754459500,20991.640625
2023-01-09,21295.939453,21470.689453,21216.919922,21388.339844,2697924400,21388.339844
2023-01-10,21370.419922,21395.419922,21187.730469,21331.460938,2543159700,21331.460938
2023-01-11,21463.820313,21686.300781,21327.410156,21436.050781,2971313200,21436.050781
2023-01-12,21599.820313,21698.939453,21223.839844,21514.099609,2834627500,21514.099609
2023-01-13,21605.070313,21770.080078,21474.980469,21738.660156,2463604200,21738.660156
2023-01-16,21818.650391,21947.550781,21572.509766,21746.720703,2559091800,21746.720703
2023-01-17,21678.050781,21797.619141,21417.25,21577.640625,2307534200,21577.640625
2023-01-18,21514.800781,21691.669922,21422.189453,21678,2485346700,21678
2023-01-19,21452.259766,21754.080078,21383.029297,21650.980469,1664915500,21650.980469
2023-01-20,21812.460938,22051.769531,21754.349609,22044.650391,1956241900,22044.650391
2023-01-26,22386.369141,22566.779297,22329.070313,22566.779297,2455079700,22566.779297
2023-01-27,22614.919922,22700.849609,22483.779297,22688.900391,2012141000,22688.900391
2023-01-30,22579.880859,22623.810547,21992.509766,22069.730469,3802780400,22069.730469
2023-01-31,22190.269531,22284.320313,21631.550781,21842.330078,3304372200,21842.330078
2023-02-01,21920.800781,22072.179688,21703.599609,22072.179688,2548571000,22072.179688
2023-02-02,22276.230469,22311.960938,21930.529297,21958.359375,2401245600,21958.359375
2023-02-03,21811.080078,21820.779297,21459.650391,21660.470703,2414664700,21660.470703
2023-02-06,21349.169922,21349.169922,21085.720703,21222.160156,2314469800,21222.160156
2023-02-07,21288.390625,21512.210938,21259.210938,21298.699219,1777942000,21298.699219
2023-02-08,21283.900391,21443.480469,21178.869141,21283.519531,1894498900,21283.519531
2023-02-09,21154.25,21637.550781,21151.269531,21624.359375,1933829700,21624.359375
2023-02-10,21559.439453,21579.990234,21157.519531,21190.419922,1782692000,21190.419922
2023-02-13,20910.080078,21230.150391,20799.910156,21164.419922,1772634000,21164.419922
2023-02-14,21235.919922,21237.880859,21074.939453,21113.759766,1408732200,21113.759766
2023-02-15,21116.839844,21117.580078,20726.830078,20812.169922,2143024200,20812.169922
2023-02-16,20947.070313,21306.539063,20887.699219,20987.669922,2180463800,20987.669922
2023-02-17,20958.630859,21056.679688,20703.740234,20719.810547,1631650800,20719.810547
2023-02-20,20681.470703,20973.669922,20606.849609,20886.960938,1915367500,20886.960938
2023-02-21,20859.5,20941.300781,20503.050781,20529.490234,2004601100,20529.490234
2023-02-22,20512.490234,20620.980469,20344.859375,20423.839844,1766388300,20423.839844
2023-02-23,20339.150391,20601.220703,20323.240234,20351.349609,1729748400,20351.349609
2023-02-24,20223.669922,20233.640625,20006.779297,20010.039063,2061880100,20010.039063
